title,price,stock,rating,description,upc,product_type,reviews
Patience,£10.16,16,Three,"Patience is a psychedelic science-fiction love story, veering with uncanny precision from violent destruction to deeply personal tenderness in a way that is both quintessentially “Clowesian” and utterly unique in the author’s body of work. This 180-page, full-color original graphic novel affords Clowes the opportunity to draw some of the most exuberant and breathtaking pag Patience is a psychedelic science-fiction love story, veering with uncanny precision from violent destruction to deeply personal tenderness in a way that is both quintessentially “Clowesian” and utterly unique in the author’s body of work. This 180-page, full-color original graphic novel affords Clowes the opportunity to draw some of the most exuberant and breathtaking pages of his life, and to tell his most suspenseful, surprising and affecting story yet. ...more",9429b4d59c537af5,Books,0
"Pop Gun War, Volume 1: Gift",£18.97,16,One,"""Pop Gun War is about childhood, self-discovery, oppression, guilt, dreams, loneliness, whatever. It is more about a feeling you, the reader, get from the story rather than a typical narrative. If you wanted to get literal, it is about an inner city boy, Sinclair, who discovers a pair of discarded angel wings. With these wings, Sinclair flies around the city and gets into ""Pop Gun War is about childhood, self-discovery, oppression, guilt, dreams, loneliness, whatever. It is more about a feeling you, the reader, get from the story rather than a typical narrative. If you wanted to get literal, it is about an inner city boy, Sinclair, who discovers a pair of discarded angel wings. With these wings, Sinclair flies around the city and gets into adventures."" - Farel Dalrymple, series creator From Publishers Weekly: Collecting the first five issues of Dalrymple's acclaimed comic book series Pop Gun War, this book provides a capsule look at Dalrymple's vision of urban fantasy. Set in New York, his stories follow characters with wings, talking fish, giants, dwarves and other fantastical acquaintances and ideas. At the center of it all is a boy named Sinclair, who acquires a set of wings when a tattooed, disgruntled angel pays to have them cut off. Sinclair, a lonely kid prone to bowties and being teased, sets off on a series of encounters across the city. His older sister, a singer in a rock band, is an inspiration and worry; a homeless man of unknown powers and origins joins him; and a band of youths pursue him. Dalrymple renders this gang of eccentrics and mystics in a loose but realistic pen and ink style highly dynamic and tailor-made for depicting New York's teeming city streets. He has a flair for the dramatic as well scenes of Sinclair flying, or of a giant walking the streets, are genuinely affecting, while seeming completely natural and brings to life a subtle kind of cartoon surrealism. The story meanders a bit, and it's not always clear where it's headed, but the fun of Pop Gun War is in its vivid characters and details. It is a fine debut, reminiscent of DC Comics's Vertigo line, with which it should sit comfortably on bookstores' and adventurous readers' shelves. ...more",e80f8e518b300dfe,Books,0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,16,Two,"Just in time for the presidential election of 2016 comes Political Suicide, a history of the best and most interesting missteps, peccadilloes, bad calls, back room hijinks, sordid pasts, rotten breaks, and just plain dumb mistakes in the annals of American politics.They have tweeted their private parts to women they're trying to impress. They have gotten caught on tape doi Just in time for the presidential election of 2016 comes Political Suicide, a history of the best and most interesting missteps, peccadilloes, bad calls, back room hijinks, sordid pasts, rotten breaks, and just plain dumb mistakes in the annals of American politics. They have tweeted their private parts to women they're trying to impress. They have gotten caught on tape doing and saying things they really shouldn't have. They have denied knowing about the underhanded doings of underlings — only to have a paper trail lead straight back to them. Nowadays, it seems like half of what we hear about politicians isn't about laws or governing, but is instead coverage focused on shenanigans, questionable morals, and scandals too numerous to count. And while we shake our heads in disbelief, we still can't resist poring over the details of these notorious incidents.In Political Suicide, the foibles of our politicians are brought from the tabloid pages to this entertaining — and cautionary — tale of American history. ...more",7392c0032f92d816,Books,0
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,16,One,"If You Want People to Read Your Book, Writing It Is Only the Beginning There has truly never been a better time to be an author. For the first time, authors have direct access to the public via the Internet and can create a community eagerly awaiting their book. But where do new authors start? How do they sort through the dizzying range of online options? Where should they If You Want People to Read Your Book, Writing It Is Only the Beginning There has truly never been a better time to be an author. For the first time, authors have direct access to the public via the Internet and can create a community eagerly awaiting their book. But where do new authors start? How do they sort through the dizzying range of online options? Where should they spend their time online and what should they be doing? Enter Fauzia Burke, a digital book marketing pioneer and friend of overwhelmed writers everywhere. She takes authors step-by-step through the process of identifying their unique personal brand, defining their audience, clarifying their aspirations and goals, and setting priorities. She offers advice on designing a successful website, building a mailing list of superfans, blogging, creating an engagement strategy for social media, and more. By following Burke's expert advice, authors can conquer the Internet and still get their next manuscript in on time. "" ...more",9ffa38d3b832433a,Books,0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,16,Four,"NEW HORROR SERIES FROM THE WALKING DEAD CREATOR ROBERT KIRKMAN! Kyle Barnes has been plagued by demonic possession all his life and now he needs answers. Unfortunately, what he uncovers along the way could bring about the end of life on Earth as we know it. Collects OUTCAST BY KIRKMAN & AZACETA #1-6.",889139b8e9c4cb36,Books,0
My Paris Kitchen: Recipes and Stories,£33.37,16,Two,"A collection of stories and 100 sweet and savory French-inspired recipes from popular food blogger David Lebovitz, reflecting the way Parisians eat today and featuring lush photography taken around Paris and in David's Parisian kitchen.It’s been ten years since David Lebovitz packed up his most treasured cookbooks, a well-worn cast-iron skillet, and his laptop and moved to A collection of stories and 100 sweet and savory French-inspired recipes from popular food blogger David Lebovitz, reflecting the way Parisians eat today and featuring lush photography taken around Paris and in David's Parisian kitchen.It’s been ten years since David Lebovitz packed up his most treasured cookbooks, a well-worn cast-iron skillet, and his laptop and moved to Paris. In that time, the culinary culture of France has shifted as a new generation of chefs and home cooks—most notably in Paris—incorporates ingredients and techniques from around the world into traditional French dishes.      In My Paris Kitchen, David remasters the classics, introduces lesser-known fare, and presents 100 sweet and savory recipes that reflect the way modern Parisians eat today. You’ll find Soupe à l’oignon, Cassoulet, Coq au vin, and Croque-monsieur, as well as Smoky barbecue-style pork, Lamb shank tagine, Dukkah-roasted cauliflower, Salt cod fritters with tartar sauce, and Wheat berry salad with radicchio, root vegetables, and pomegranate. And of course, there’s dessert: Warm chocolate cake with salted butter caramel sauce, Duck fat cookies, Bay leaf poundcake with orange glaze, French cheesecake...and the list goes on. David also shares stories told with his trademark wit and humor, and lush photography taken on location around Paris and in David’s kitchen reveals the quirks, trials, beauty, and joys of life in the culinary capital of the world. ...more",784bc2279baa878d,Books,0
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,16,One,"A Plea From the FutureOn the day that Naho begins 11th grade, she recieves a letter from herself ten years in the future. At first, she writes it off as a prank, but as the letter’s predictions come true one by one Naho realizes that the letter might be the real deal. Her future self tells Naho that a new transfer student, a boy named Kakeru, will soon join her class. The A Plea From the FutureOn the day that Naho begins 11th grade, she recieves a letter from herself ten years in the future. At first, she writes it off as a prank, but as the letter’s predictions come true one by one Naho realizes that the letter might be the real deal. Her future self tells Naho that a new transfer student, a boy named Kakeru, will soon join her class. The letter begs Naho to watch over him, saying that only Naho can save Kakeru from a terrible future. Who is this mystery boy, and can Naho save him from his destiny? The heart-wrenching sci-fi romance that has over million copies in print in Japan! ...more",11809b1d323b3057,Books,0
On a Midnight Clear,£14.07,16,Three,"It's Christmas Eve and private investigator Adam Fraley has lost his way while traveling a remote rural road in the foothills of the Colorado Rockies during a heavy snowstorm. At a loss as to where to turn next, he happens upon an isolated cabin in the woods where he stops to seek directions. There to greet him is the dwelling's lone inhabitant, an enchanting young girl wh It's Christmas Eve and private investigator Adam Fraley has lost his way while traveling a remote rural road in the foothills of the Colorado Rockies during a heavy snowstorm. At a loss as to where to turn next, he happens upon an isolated cabin in the woods where he stops to seek directions. There to greet him is the dwelling's lone inhabitant, an enchanting young girl who invites him out of the storm. Puzzled by the circumstances of a child left home along under such conditions, Fraley soon discovers the horrific reason why, a revelation that launches him into an intensive search for both a killer and a trove of buried gold. ...more",b757c0c361e689ce,Books,0
Obsidian (Lux #1),£14.86,16,Two,"Starting over sucks.When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.And then he opened his mouth.Daemon is infuriating. Arrogant. Stab-worthy. We do not get alon Starting over sucks.When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.And then he opened his mouth.Daemon is infuriating. Arrogant. Stab-worthy. We do not get along. At all. But when a stranger attacks me and Daemon literally freezes time with a wave of his hand, well, something… unexpected happens. The hot alien living next door marks me.You heard me. Alien. Turns out Daemon and his sister have a galaxy of enemies wanting to steal their abilities, and Daemon’s touch has me lit up like the Vegas Strip. The only way I’m getting out of this alive is by sticking close to Daemon until my alien mojo fades. If I don’t kill him first, that is. ...more",3c346ab1e76ae1f6,Books,0
Masks and Shadows,£56.40,16,Two,"The year is 1779, and Carlo Morelli, the most renowned castrato singer in Europe, has been invited as an honored guest to Eszterháza Palace. With Carlo in Prince Nikolaus Esterházy's carriage, ride a Prussian spy and one of the most notorious alchemists in the Habsburg Empire. Already at Eszterháza is Charlotte von Steinbeck, the very proper sister of Prince Nikolaus's mis The year is 1779, and Carlo Morelli, the most renowned castrato singer in Europe, has been invited as an honored guest to Eszterháza Palace. With Carlo in Prince Nikolaus Esterházy's carriage, ride a Prussian spy and one of the most notorious alchemists in the Habsburg Empire. Already at Eszterháza is Charlotte von Steinbeck, the very proper sister of Prince Nikolaus's mistress. Charlotte has retreated to the countryside to mourn her husband's death. Now, she must overcome the ingrained rules of her society in order to uncover the dangerous secrets lurking within the palace's golden walls. Music, magic, and blackmail mingle in a plot to assassinate the Habsburg Emperor and Empress--a plot that can only be stopped if Carlo and Charlotte can see through the masks worn by everyone they meet. ...more",fa9610a50a1bf149,Books,0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,16,Four,"Cecilia Granata grew up cooking with her family in Italy. As a vegan, she learned to adapt her favorite recipes from around the country to be animal free while retaining the flavor and feeling of true Italian home cooking. She shares her commitment to ethical and artful eating in this alphabetically-arranged volume with over 100 recipes, ranging from traditional favorites Cecilia Granata grew up cooking with her family in Italy. As a vegan, she learned to adapt her favorite recipes from around the country to be animal free while retaining the flavor and feeling of true Italian home cooking. She shares her commitment to ethical and artful eating in this alphabetically-arranged volume with over 100 recipes, ranging from traditional favorites to homemade liqueurs to aphrodisiacs—all ""senza sofferenza,"" without suffering. The recipes are lushly illustrated with Granata's food-inspired tattoo art. ...more",72f9d5be3472d34e,Books,0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,16,Two,"What a mystery!Jo, April, Mal, Molly, and Ripley are not your average campers and Miss Qiunzella Thiskwin Penniquiqul Thistle Crumpet's Camp for Hardcore Lady-Types is not your average summer camp. Between the river monsters, magic, and the art of friendship bracelets, this summer is only just beginning. Join the Lumberjanes as they take on raptors and a sibling rivalry th What a mystery!Jo, April, Mal, Molly, and Ripley are not your average campers and Miss Qiunzella Thiskwin Penniquiqul Thistle Crumpet's Camp for Hardcore Lady-Types is not your average summer camp. Between the river monsters, magic, and the art of friendship bracelets, this summer is only just beginning. Join the Lumberjanes as they take on raptors and a sibling rivalry that only myths are made of.This New York Times bestseller and Eisner Award-nominated series is written by awesome all-star Noelle Stevenson and brilliant newcomer Grace Ellis, and illustrated by the tremendously talented Brooke Allen.Lumberjanes, Vol. 2: Friendship to the Max includes issues 5-8 and the first fourteen pages of Giant Days, Vol. 1 by John Allison. ...more",460089f796fb3f82,Books,0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,16,Three,"FRIENDSHIP TO THE MAX!At Miss Qiunzilla Thiskwin Penniquiqul Thistle Crumpet's camp for hard-core lady-types, things are not what they seem. Three-eyed foxes. Secret caves. Anagrams. Luckily, Jo, April, Mal, Molly, and Ripley are five rad, butt-kicking best pals determined to have an awesome summer together... And they're not gonna let a magical quest or an array of supern FRIENDSHIP TO THE MAX!At Miss Qiunzilla Thiskwin Penniquiqul Thistle Crumpet's camp for hard-core lady-types, things are not what they seem. Three-eyed foxes. Secret caves. Anagrams. Luckily, Jo, April, Mal, Molly, and Ripley are five rad, butt-kicking best pals determined to have an awesome summer together... And they're not gonna let a magical quest or an array of supernatural critters get in their way! The mystery keeps getting bigger, and it all begins here. Collects Lumberjanes No. 1-4. ...more",b6ee99bcf06fc91f,Books,0
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,16,One,"It’s time to venture beyond vanilla and chocolate and take your baking skills up a notch. We’re talking layers—two, three, four, or more! Create sky-high, bakery-quality treats at home with Tessa Huff’s 150 innovative recipes, which combine new and exciting flavors of cake, fillings, and frostings—everything from pink peppercorn cherry to bourbon butterscotch, and pumpkin It’s time to venture beyond vanilla and chocolate and take your baking skills up a notch. We’re talking layers—two, three, four, or more!   Create sky-high, bakery-quality treats at home with Tessa Huff’s 150 innovative recipes, which combine new and exciting flavors of cake, fillings, and frostings—everything from pink peppercorn cherry to bourbon butterscotch, and pumpkin vanilla chai to riesling rhubarb and raspberry chocolate stout. Including contemporary baking methods and industry tips and tricks, Layered covers every decorating technique you’ll ever need with simple instructions and gorgeous step-by-step photos that speak to bakers of every skill level—and to anyone who wants to transform dessert into layer upon layer of edible art. ...more",7b75cc7f223791f4,Books,0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,16,Two,"This New York Times Bestselling series continues with Jo, April, Mal, Molly, and Ripley as they take on everything that goes bump in the night. From scary stories to magical portals that lead to a land untouched by time, it's definitely not your average summer. (Lumberjanes #9-12)",57e5a4d515c8ce44,Books,0
In the Country We Love: My Family Divided,£22.00,16,Four,"The star of Orange is the New Black and Jane the Virgin presents her personal story of the real plight of undocumented immigrants in this countryDiane Guerrero, the television actress from the megahit Orange is the New Black and Jane the Virgin, was just fourteen years old on the day her parents and brother were arrested and deported while she was at school. Born in the U. The star of Orange is the New Black and Jane the Virgin presents her personal story of the real plight of undocumented immigrants in this countryDiane Guerrero, the television actress from the megahit Orange is the New Black and Jane the Virgin, was just fourteen years old on the day her parents and brother were arrested and deported while she was at school. Born in the U.S., Guerrero was able to remain in the country and continue her education, depending on the kindness of family friends who took her in and helped her build a life and a successful acting career for herself, without the support system of her family.In the Country We Love is a moving, heartbreaking story of one woman's extraordinary resilience in the face of the nightmarish struggles of undocumented residents in this country. There are over 11 million undocumented immigrants living in the US, many of whom have citizen children, whose lives here are just as precarious, and whose stories haven't been told. Written with Michelle Burford, this memoir is a tale of personal triumph that also casts a much-needed light on the fears that haunt the daily existence of families like the author's and on a system that fails them over and over. ...more",b136b1b180ca753a,Books,0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,16,Two,"Displaying the most impressive throws, compelling armbars, dominant pins, and decisive chokes, judo is a particularly powerful sport and martial art that can bring opponents into submission in highly effective ways. With determination and perseverance, such tremendous power could be yours. Designed with safety considerations in mind, judo allows people of all ages to be in Displaying the most impressive throws, compelling armbars, dominant pins, and decisive chokes, judo is a particularly powerful sport and martial art that can bring opponents into submission in highly effective ways. With determination and perseverance, such tremendous power could be yours. Designed with safety considerations in mind, judo allows people of all ages to be involved in a long-term fitness activity with opportunities for continuous improvement. Judo is a way of life that promotes physical and mental harmony, encourages the development of self-confidence and leadership abilities, prepares practitioners to act in self-defense, and instills values such as discipline, respect, and diligence. Judo is also an Olympic sport that has been gaining increasing worldwide visibility. ...more",228f74b74f3a08ae,Books,0
Join,£35.67,16,Five,"What if you could live multiple lives simultaneously, have constant, perfect companionship, and never die? That’s the promise of Join, a revolutionary technology that allows small groups of minds to unite, forming a single consciousness that experiences the world through multiple bodies. But as two best friends, Chance and Lucky, living in an alternate version of our own n What if you could live multiple lives simultaneously, have constant, perfect companionship, and never die? That’s the promise of Join, a revolutionary technology that allows small groups of minds to unite, forming a single consciousness that experiences the world through multiple bodies. But as two best friends, Chance and Lucky, living in an alternate version of our own near future quickly discover, the light of that miracle may be blinding them to its horrors.Jolted out of comfortable, professional routines by a brutal encounter with a terrifying stranger and a malfunction in the join technology, Chance and Lucky follow a faint trail of clues off the grid in their desperate search for a cure. Their journey leads them into the scarred heart of the North American continent. There, within the improvised shelter of the “solos” left behind by the rush of technology, they encounter the architects of a new kind of human consciousness. With the planet descending into environmental ruin, their trust of each other becomes their only guide through the moral hazards of a society in which individual identity has come undone. Along the way, they must confront their own long-buried secrets, and learn how their story of injured conscience connects them to the arc of human evolution.A deftly crafted, kaleidoscopic novel with the pulse of a thriller, Join explores big ideas in the current zeitgeist on an intimate, human scale. ...more",18ad3ed896c7ce05,Books,0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,16,Five,"Around Christmas of 1882, while peering through a microscope at starfish larvae in which he had inserted tiny thorns, Russian zoologist Elie Metchnikoff had a brilliant insight: what if the mobile cells he saw gathering around the thorns were nothing but a healing force in action? Metchnikoff’s daring theory of immunity—that voracious cells he called phagocytes formed the Around Christmas of 1882, while peering through a microscope at starfish larvae in which he had inserted tiny thorns, Russian zoologist Elie Metchnikoff had a brilliant insight: what if the mobile cells he saw gathering around the thorns were nothing but a healing force in action? Metchnikoff’s daring theory of immunity—that voracious cells he called phagocytes formed the first line of defense against invading bacteria—would eventually earn the scientist a Nobel Prize, shared with his archrival, as well as the unofficial m oniker “Father of Natural Immunity.” But first he had to win over skeptics, especially those who called his theory “an oriental fairy tale.” Using previously inaccessible archival materials, author Luba Vikhanski chronicles Metchnikoff’s remarkable life and discoveries in the first moder n biography of this hero of medicine. Metchnikoff was a towering figure in the scientific community of the early twentieth century, a tireless humanitarian who, while working at the Pasteur Institute in Paris, also strived to curb the spread of cholera, syphilis, and other deadly diseases. In his later years, he startled the world with controversial theories on longevity, launching a global craze for yogurt, and pioneered research into gut microbes and aging. Though Metchnikoff was largely forgotten for nearly a hundred years, Vikhanski documents a remarkable revival of interest in his ideas on immunity and on the gut flora in the science of the twenty-first century. ...more",e4f74c16de34d440,Books,0
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,16,Two,"From superstar writer and artist Skottie Young (Rocket Raccoon, Wizard of OZ, Fortunately, The Milk), comes the first volume of an all-new series of adventure and mayhem. An Adventure Time/Alice in Wonderland-style epic that smashes it's cute little face against grown-up, Tank Girl/Deadpool-esque violent madness. Follow Gert, a forty year old woman stuck in a six year olds From superstar writer and artist Skottie Young (Rocket Raccoon, Wizard of OZ, Fortunately, The Milk), comes the first volume of an all-new series of adventure and mayhem. An Adventure Time/Alice in Wonderland-style epic that smashes it's cute little face against grown-up, Tank Girl/Deadpool-esque violent madness. Follow Gert, a forty year old woman stuck in a six year olds body who has been stuck in the magical world of Fairyland for nearly thirty years. Join her and her giant battle-axe on a delightfully blood soaked journey to see who will survive the girl who HATES FAIRYLAND. Collecting Issues #1-5 for only $9.99. ""Skottie Young is an Eisner Award-Winning, New York Times Bestselling cartoonist who has been making comics and children's books for over fifteen years. Books such as Rocket Raccoon, the Wizard of Oz graphic novels, Little Marvel and Fortunately, The Milk have made him a fan favorite, critically-aclaimed writer and artist. Jean-Francios Beaulieu is the colorist behind the award-winning Wizard of OZ graphic graphic novels and has worked with Skottie Young for over ten years. Nate Piekos is an award-winning letter and designer who has created some of the industry's most popular fons and has used them to letter comic books for Marvel, DC, Oni Press, Dark Horse and many more."" ...more",8d4eefad7a2b3915,Books,0
Her Backup Boyfriend (The Sorensen Family #1),£33.97,16,One,"One little white lie leads to more than she planned…Straight-laced lawyer Kate Matthews always plays by the rules. But when her ex gets engaged and a big promotion is on the line at work, she blurts out that she has a new boyfriend. And now that she’s proved she “has a life” outside of work, everything is perfect. Except for one teeny little detail—there is no boyfriend. A One little white lie leads to more than she planned…Straight-laced lawyer Kate Matthews always plays by the rules. But when her ex gets engaged and a big promotion is on the line at work, she blurts out that she has a new boyfriend. And now that she’s proved she “has a life” outside of work, everything is perfect. Except for one teeny little detail—there is no boyfriend. And now Kate’s liable for her little white lie…Dominic Sorensen is hot, charming, and very definitely not Kate’s type. But not only does Dominic want to help Kate renovate her home, he’s also willing to play “boyfriend.” All he wants in return is a little pro bono work for his sister. Now instead of Mr. Right, Kate has a delectable Mr. Fix-It-Right—and some unbelievable sexual chemistry. And if falling for Dominic is a breach of contract, Kate is guilty as charged… ...more",2a97cffe61c3c4c7,Books,0
I am a Hero Omnibus Volume 1,£54.63,16,Three,"The zombie apocalypse has never been more surreal! A mentally unhinged manga artist witnesses the beginning of a zombie outbreak in Tokyo, and he's certain of only two things: he's destined to be the city's hero, and he possesses something very rare in Japan--an actual firearm! Kengo Hanazawa's award-winning series comes to Dark Horse, and this realistically-drawn internat The zombie apocalypse has never been more surreal! A mentally unhinged manga artist witnesses the beginning of a zombie outbreak in Tokyo, and he's certain of only two things: he's destined to be the city's hero, and he possesses something very rare in Japan--an actual firearm! Kengo Hanazawa's award-winning series comes to Dark Horse, and this realistically-drawn international bestseller takes us from initial small battles for survival to a huge, body-horror epidemic that threatens all of humanity! These special omnibus volumes will collect two of the original Japanese books into each Dark Horse edition and include all of the color pages.""Probably the greatest zombie manga ever."" --Jason Thompson (Manga: The Complete Guide) ...more",1c89ae5bb804e4de,Books,0
How to Be Miserable: 40 Strategies You Already Use,£46.03,16,One,"In How to Be Miserable, psychologist Randy Paterson outlines 40 specific behaviors and habits, which—if followed—are sure to lead to a lifetime of unhappiness. On the other hand, if you do the opposite, you may yet join the ranks of happy people everywhere!There are stacks upon stacks of self-help books that will promise you love, happiness, and a fabulous life. But how ca In How to Be Miserable, psychologist Randy Paterson outlines 40 specific behaviors and habits, which—if followed—are sure to lead to a lifetime of unhappiness. On the other hand, if you do the opposite, you may yet join the ranks of happy people everywhere!There are stacks upon stacks of self-help books that will promise you love, happiness, and a fabulous life. But how can you pinpoint the exact behaviors that cause you to be miserable in the first place? Sometimes when we’re depressed, or just sad or unhappy, our instincts tell us to do the opposite of what we should—such as focusing on the negative, dwelling on what we can’t change, isolating ourselves from friends and loved ones, eating junk food, or overindulging in alcohol. Sound familiar?This tongue-in-cheek guide will help you identify the behaviors that make you unhappy and discover how you—and only you—are holding yourself back from a life of contentment. You’ll learn to spot the tried-and-true traps that increase feelings of dissatisfaction, foster a lack of motivation, and detract from our quality of life—as well as ways to avoid them.So, get ready to live the life you want (or not?) This fun, irreverent guide will light the way. ...more",a6f99b9e687f9d46,Books,0
Fifty Shades Darker (Fifty Shades #2),£21.96,16,One,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house.But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house.But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades.While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life.Erotic, sparkling and suspenseful, Fifty Shades Darker is the irresistibly addictive second part of the Fifty Shades trilogy.Learn more about E. L. James at thewriterscoffeeshop.com/ejames and on Twitter @E_L_JamesNeed the first Fifty Shades? Search Fifty Shades of Grey ...more",7add3f8e49ec0826,Books,0
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,16,Two,"Susan, Esther, and Daisy started at university three weeks ago and became fast friends. Now, away from home for the first time, all three want to reinvent themselves. But in the face of hand-wringing boys, “personal experimentation,” holiday balls, nu-chauvinism, and the willful, unwanted intrusion of “academia,” they may be lucky just to make it to spring alive. Giant Day Susan, Esther, and Daisy started at university three weeks ago and became fast friends. Now, away from home for the first time, all three want to reinvent themselves. But in the face of hand-wringing boys, “personal experimentation,” holiday balls, nu-chauvinism, and the willful, unwanted intrusion of “academia,” they may be lucky just to make it to spring alive. Giant Days , the comedic slice-of-life series from creator John Allison (Bad Machinery, Scary Go Round) and artist Lissa Treiman, has graduated to a second volume. ...more",f2df3bb043a8abb0,Books,0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,16,Three,"A Proper Historical Romance seriesThe first book in a new series which will focus on the lives of real historical figures who have intriguing stories of courtship that are recreated in fictionalized accounts based on real biographical and social history research.""A well-researched, emotionally charged tale. A love story...fit for the ages."" -Publishers Weekly.It's 1836, an A Proper Historical Romance seriesThe first book in a new series which will focus on the lives of real historical figures who have intriguing stories of courtship that are recreated in fictionalized accounts based on real biographical and social history research.""A well-researched, emotionally charged tale. A love story...fit for the ages."" -Publishers Weekly.It's 1836, and nineteen-year-old Fanny Appleton, a privileged daughter of a wealthy, upper-class Boston industrialist, is touring Europe with her family. Like many girls of her day, she enjoys the fine clothes, food, and company of the elite social circles. But unlike her peers, Fanny is also drawn to education, literature, and more intellectual pursuits.Published author and poet Henry Wadsworth Longfellow is also touring Europe, but under much different circumstances. Widowed while on tour, he has stayed in order to gather credentials that he hopes will secure his professorship at Harvard College. When Henry meets Fanny, he sees in her a kindred spirit, a lover of language and literature and high ideals. He is in love. Fanny, however, is uncertain. He is ten years older than she is, and from a much lower social class. How could such a relationship ever thrive?Could a book of Henry’s poetry, personally delivered, persuade Fanny to believe in a love that lasts forever and forever? ...more",9beb96a2300109d7,Books,0
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,16,Two,"A Radical but Reverent Paraphrasing of Dogen’s Treasury of the True Dharma Eye“Even if the whole universe is nothing but a bunch of jerks doing all kinds of jerk-type things, there is still liberation in simply not being a jerk.” — Eihei Dogen (1200–1253 CE)The Shobogenzo (The Treasury of the True Dharma Eye) is a revered eight-hundred-year-old Zen Buddhism classic written A Radical but Reverent Paraphrasing of Dogen’s Treasury of the True Dharma Eye“Even if the whole universe is nothing but a bunch of jerks doing all kinds of jerk-type things, there is still liberation in simply not being a jerk.” — Eihei Dogen (1200–1253 CE)The Shobogenzo (The Treasury of the True Dharma Eye) is a revered eight-hundred-year-old Zen Buddhism classic written by the Japanese monk Eihei Dogen. Despite the timeless wisdom of his teachings, many consider the book difficult to understand and daunting to read. In Don’t Be a Jerk, Zen priest and bestselling author Brad Warner, through accessible paraphrasing and incisive commentary, applies Dogen’s teachings to modern times. While entertaining and sometimes irreverent, Warner is also an astute scholar who sees in Dogen very modern psychological concepts, as well as insights on such topics as feminism and reincarnation. Warner even shows that Dogen offered a “Middle Way” in the currently raging debate between science and religion. For curious readers worried that Dogen’s teachings are too philosophically opaque, Don’t Be a Jerk is hilarious, understandable, and wise. ...more",fce19f9b4a943f22,Books,0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,16,Two,"While everyone is talking about “big data,” the truth is that understanding the “little data”—the stats that underlie newspaper headlines, stock reports, weather forecasts, and so on—is what helps you make smarter decisions at work, at home, and in every aspect of your life. The average person consumes approximately 30 gigabytes of data every single day, but has no idea ho While everyone is talking about “big data,” the truth is that understanding the “little data”—the stats that underlie newspaper headlines, stock reports, weather forecasts, and so on—is what helps you make smarter decisions at work, at home, and in every aspect of your life. The average person consumes approximately 30 gigabytes of data every single day, but has no idea how to interpret it correctly. EVERYDATA explains, through the eyes of an expert economist and statistician, how to decipher the small bytes of data we consume in a day.EVERYDATA is filled with countless examples of people misconstruing data—with results that range from merely frustrating to catastrophic:The space shuttle Challenger exploded in part because the engineers were reviewing a limited sample set.Millions of women avoid caffeine during pregnancy because they interpret correlation as causation.Attorneys faced a $1 billion jury verdict because of outlier data.Each chapter highlights one commonly misunderstood data concept, using both realworld and hypothetical examples from a wide range of topics, including business, politics, advertising, law, engineering, retail, parenting, and more. You’ll find the answer to the question—“Now what?”—along with concrete ways you can use this information to immediately start making smarter decisions, today and every day. ...more",311c0dd0e354a33e,Books,0
